gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,1,Blue,Top,Licorice,Cloud9,Aatrox,Draven,Rakan,Rek'Sai,Ezreal,Sejuani,35.5,1,6,3,12,21,14,1,0,0,0,0,0,1,5.609116667,0.1690140845,0.1126760563,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,1,,1,15.16268333,1,0,10,4,1,25.63801667,1,0,19265,542.6760563,0.2730880998,0.2356853521,22,0.6197183099,0.2018348624,4,0.1126760563,10,11, , ,15443,304.8507042,15000,0.1009874641,260,24,9,8,8,3668,4205,-537,5476,6144,-668,4453,5258,-805,72,89,-17,127,152,-25
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,2,Blue,Jungle,Svenskeren,Cloud9,Hecarim,Draven,Rakan,Rek'Sai,Ezreal,Sejuani,35.5,1,1,5,10,21,14,0,0,0,0,0,0,0,5.609116667,0.02816901408,0,0.985915493,0,12.55663333,2,2,2,2,2,0,0,0,0,0,1,,1,15.16268333,1,0,10,4,1,25.63801667,1,0,8693,244.8732394,0.1232263094,0.1768413258,11,0.3098591549,0.1009174312,13,0.3661971831,8,10, , ,12741,228.7380282,12358,0.2718999908,33,167,110,0,5.633802817,3341,3080,261,5113,4567,546,3876,3255,621,69,60,9,110,93,17
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,3,Blue,Middle,Nisqy,Cloud9,Sylas,Draven,Rakan,Rek'Sai,Ezreal,Sejuani,35.5,1,9,2,7,21,14,1,1,0,0,0,0,0,5.609116667,0.2535211268,0.08450704225,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,1,,1,15.16268333,1,0,10,4,1,25.63801667,1,0,18059,508.7042254,0.2559926288,0.2547192822,10,0.2816901408,0.09174311927,3,0.08450704225,3,8, , ,16317,329.4704225,14875,0.111051978,256,28,20,8,8,3719,3193,526,5494,5092,402,4973,4549,424,83,86,-3,139,145,-6
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,4,Blue,ADC,Sneaky,Cloud9,Varus,Draven,Rakan,Rek'Sai,Ezreal,Sejuani,35.5,1,5,2,9,21,14,0,0,0,0,0,0,0,5.609116667,0.1408450704,0.1971830986,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,1,,1,15.16268333,1,0,10,4,1,25.63801667,1,0,17891,503.971831,0.2536111702,0.2246657084,12,0.338028169,0.1100917431,17,0.4788732394,3,3, , ,14937,290.5971831,14225,0.01451584351,262,29,12,8,8.197183099,3400,2924,476,5141,4735,406,3275,3002,273,95,67,28,148,122,26
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,5,Blue,Support,Zeyzal,Cloud9,Galio,Draven,Rakan,Rek'Sai,Ezreal,Sejuani,35.5,1,0,2,14,21,14,0,0,0,0,0,0,0,5.609116667,0,0,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,1,,1,15.16268333,1,0,10,4,1,25.63801667,1,0,6637,186.9577465,0.09408179176,0.1080883314,54,1.521126761,0.495412844,14,0.3943661972,18,18, , ,9584,139.8084507,8650,0.08120300752,70,0,0,0,1.971830986,1990,2034,-44,3063,3078,-15,2683,2557,126,15,14,1,24,23,1
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,6,Red,Top,V1per,FlyQuest,Irelia,Sona,Yuumi,Jayce,Kai'Sa,Sivir,35.5,0,4,5,6,14,21,0,0,0,0,1,0,0,5.609116667,0.1126760563,0.1690140845,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,0,,0,15.16268333,0,1,4,10,0,25.63801667,0,1,14525,409.1549296,0.2024785324,0.2416733876,16,0.4507042254,0.1481481481,6,0.1690140845,4,4, , ,13910,261.6676056,13558,-0.1009874641,274,16,11,0,8.169014085,4205,3668,537,6144,5476,668,5258,4453,805,89,72,17,152,127,25
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,7,Red,Jungle,Santorin,FlyQuest,Vi,Sona,Yuumi,Jayce,Kai'Sa,Sivir,35.5,0,0,5,8,14,21,0,0,0,0,0,0,0,5.609116667,0,0.02816901408,0.985915493,1,12.55663333,2,2,2,2,1,0,0,1,0,0,0,,0,15.16268333,0,1,4,10,0,25.63801667,0,1,5041,142,0.07027155124,0.1325337565,8,0.2253521127,0.07407407407,11,0.3098591549,7,7, , ,9715,143.4985915,9400,-0.2718999908,31,138,113,0,4.76056338,3080,3341,-261,4567,5113,-546,3255,3876,-621,60,69,-9,93,110,-17
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,8,Red,Middle,Pobelter,FlyQuest,Ryze,Sona,Yuumi,Jayce,Kai'Sa,Sivir,35.5,0,3,5,6,14,21,0,0,0,0,0,0,0,5.609116667,0.08450704225,0.2535211268,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,0,,0,15.16268333,0,1,4,10,0,25.63801667,0,1,24365,686.3380282,0.3396481543,0.2537190728,21,0.5915492958,0.1944444444,2,0.05633802817,9,9, , ,14373,274.7098592,13310,-0.111051978,313,16,12,4,9.267605634,3193,3719,-526,5092,5494,-402,4549,4973,-424,86,83,3,145,139,6
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,9,Red,ADC,WildTurtle,FlyQuest,Xayah,Sona,Yuumi,Jayce,Kai'Sa,Sivir,35.5,0,7,2,3,14,21,2,0,0,0,0,0,0,5.609116667,0.1971830986,0.1408450704,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,0,,0,15.16268333,0,1,4,10,0,25.63801667,0,1,22559,635.4647887,0.3144725103,0.2767697791,10,0.2816901408,0.09259259259,11,0.3098591549,4,4, , ,15259,299.6676056,14020,-0.01451584351,293,19,19,0,8.788732394,2924,3400,-476,4735,5141,-406,3002,3275,-273,67,95,-28,122,148,-26
1092338,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1092338?gameHash=205db232780f91a9,LCS,2019-2,43617.64992,1,1,9.1,10,Red,Support,JayJ,FlyQuest,Braum,Sona,Yuumi,Jayce,Kai'Sa,Sivir,35.5,0,0,4,9,14,21,0,0,0,0,0,0,0,5.609116667,0,0,0.985915493,0,12.55663333,2,2,0,0,0,0,0,0,0,0,0,,0,15.16268333,0,1,4,10,0,25.63801667,0,1,5246,147.7746479,0.0731292517,0.09530400395,53,1.492957746,0.4907407407,7,0.1971830986,15,17, , ,8284,103.1887324,7975,-0.08120300752,71,0,0,0,2,2034,1990,44,3078,3063,15,2557,2683,-126,14,15,-1,23,24,-1
